energy,protein,carbs,sugar,added_sugar,fat,sat_fat,trans_fat,fiber,sodium,msg,sweeteners,colors,processed_oils,ultra_processed
596.6,8.13,40.2,21.6,0.0,44.7,31.2,0.5,8.2,19.9,0,0,0,0,0
157.0,2.7,16.5,15.9,12.1,9.0,4.8,0.3,0.0,31.0,0,0,0,0,0
0.0,10.0,27.3,22.7,1.1,0.0,0.0,0.0,0.0,60.3,0,0,0,0,0
531.0,7.9,60.4,57.0,0.0,29.0,19.6,0.1,0.0,129.0,0,0,0,0,0
0.0,8.0,57.7,2.1,1.1,0.0,0.0,0.0,0.0,1137.1,0,0,0,0,0
400.0,11.3,64.6,6.3,2.8,10.7,4.1,0.0,10.8,1900.0,0,0,0,0,0
475.0,1.6,77.7,73.4,0.0,18.2,18.0,0.2,0.0,10.0,0,0,0,0,0
216.0,3.7,20.9,20.9,15.0,13.0,7.8,0.5,0.0,52.0,0,0,0,0,0
46.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,57.0,0,0,0,0,0
143.0,4.4,32.1,7.4,0.0,0.7,0.1,0.0,5.0,0.0,0,0,0,0,0
251.0,4.1,26.0,22.6,17.5,14.5,7.3,0.4,0.0,46.0,0,0,0,0,0
229.0,0.0,57.0,55.0,0.0,0.0,0.0,0.0,0.0,80.0,0,0,0,0,0
410.9,12.0,68.3,0.0,0.0,10.0,2.9,0.0,9.5,5400.0,0,0,0,0,0
2000.0,8.93,66.49,2.94,2.7,0.0,0.0,0.0,0.0,1742.37,0,0,0,0,0
61.0,1.1,12.3,4.5,4.5,0.7,0.2,0.0,1.0,500.0,0,0,0,0,0
516.0,7.7,63.6,51.6,43.0,25.8,17.5,0.1,0.0,236.0,0,0,0,0,0
149.8,2.7,18.1,18.03,13.9,7.4,0.0,0.28,0.07,41.4,0,0,0,0,0
46.0,0.0,10.9,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,1.9,13.3,12.2,8.5,0.0,0.0,0.0,0.0,31.0,0,0,0,0,0
28.0,0.0,7.0,6.9,6.7,0.0,0.0,0.0,0.0,38.0,0,0,0,0,0
551.0,10.4,53.6,46.9,0.0,33.5,16.8,0.1,0.0,104.0,0,0,0,0,0
48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
98.0,3.1,19.4,0.7,0.6,0.7,0.05,0.0,3.7,439.0,0,0,0,0,0
378.0,6.7,86.9,9.2,8.0,1.0,0.6,0.0,2.5,490.0,0,0,0,0,0
0.0,12.6,67.6,1.8,0.0,0.0,0.0,0.0,0.0,9500.0,0,0,0,0,0
0.0,8.8,70.1,9.2,7.3,0.0,0.0,0.0,0.0,1916.0,0,0,0,0,0
523.0,5.2,64.5,50.2,43.9,27.6,17.7,0.2,0.0,192.0,0,0,0,0,0
267.0,3.5,27.3,26.5,21.6,16.2,11.1,0.4,0.0,44.0,0,0,0,0,0
537.0,7.7,56.6,55.3,45.9,31.3,21.5,0.1,0.0,125.0,0,0,0,0,0
513.0,4.7,67.6,45.1,43.0,25.2,20.0,0.2,0.0,103.0,0,0,0,0,0
429.0,3.8,65.5,49.2,42.8,16.8,13.6,0.07,0.0,86.4,0,0,0,0,0
382.0,9.3,77.6,10.7,0.0,5.2,0.8,0.0,6.4,132.0,0,0,0,0,0
410.9,12.0,68.3,0.0,0.0,10.0,2.9,0.0,9.5,5400.0,0,0,0,0,0
0.0,12.16,67.7,0.88,0.0,0.0,0.0,0.0,0.0,2740.0,0,0,0,0,0
475.0,6.0,57.3,0.0,0.0,33.7,20.4,0.0,0.0,0.0,0,0,0,0,0
242.0,3.9,24.1,16.9,13.4,16.1,9.1,0.2,0.0,27.0,0,0,0,0,0
400.0,6.5,82.9,30.0,28.5,5.1,0.6,0.0,2.0,430.0,0,0,0,0,0
156.0,3.0,16.0,15.0,10.0,9.0,5.0,0.0,0.0,33.0,0,0,0,0,0
275.0,5.9,21.9,19.7,14.2,18.7,7.6,0.4,0.0,90.0,0,0,0,0,0
531.0,7.9,60.4,57.0,0.0,29.0,19.6,0.1,0.0,129.0,0,0,0,0,0
